family,baseline_stage,horizon_multiplier,program_name,comparison_mode,max_steps,reference_step_count,profile_repeats,bytecode_ns_per_step,lowered_ns_per_step,linear_ns_per_step,accelerated_ns_per_step,accelerated_speedup_vs_linear,accelerated_ratio_vs_lowered,accelerated_ratio_vs_bytecode,linear_exact_trace_match,linear_exact_final_state_match,accelerated_exact_trace_match,accelerated_exact_final_state_match,linear_accelerated_trace_match,linear_accelerated_final_state_match,read_observation_count,exact_read_agreement
checkpoint_replay_long,R3_d0_exact_execution_stress_gate,8,bytecode_checkpoint_replay_long_80_a128,long_exact_final_state,10240,2508,1,16507.216947572084,16443.460898999678,26047358.094082188,25401902.472089004,1.0254097354598695,1544.8026804159156,1538.8361680086339,True,True,True,True,True,True,2472,True
helper_checkpoint_braid_long,R3_d0_exact_execution_stress_gate,8,bytecode_helper_checkpoint_braid_long_144_a312_s0,long_exact_final_state,8192,3834,1,11276.525817422831,10198.017748205859,32933392.67085721,32832933.307249326,1.003059713327097,3219.5407105489335,2911.617801337421,True,True,True,True,True,True,3323,True
iterated_helper_accumulator,R3_d0_exact_execution_stress_gate,8,bytecode_iterated_helper_accumulator_192_a144_b145,long_exact_final_state,8192,2890,1,12292.491375214087,10770.311414757196,23285792.24912759,23253421.868506987,1.001392069554479,2159.0296671130386,1891.6768910974324,True,True,True,True,True,True,2503,True
subroutine_braid_long,R3_d0_exact_execution_stress_gate,8,bytecode_subroutine_braid_long_112_a176,long_exact_final_state,8192,2200,1,13440.772732296451,12375.999993475323,16301705.090921711,16447848.90909002,0.991114715427162,1329.0117095799444,1223.7279237352143,True,True,True,True,True,True,1804,True
