suite,case_count,median_profile_step_count,median_lowered_total_ns_per_step,median_lowered_exec_only_ns_per_step,median_lowering_share_of_lowered_total,median_bytecode_ns_per_step,median_spec_ns_per_step,lowered_vs_best_reference_ratio,lowered_vs_bytecode_ratio,lowered_vs_spec_ratio,bridge_status
control_flow,5,133,9760.811194978856,10355.405597569976,0.01448825108044759,10604.052993192061,5802.2583083760355,1.682243477662538,0.9204792923276999,1.682243477662538,lagging_mixed_gate
loops,7,176,10767.029142817079,9893.74993051487,0.02261329496097597,10120.38855442723,6452.427150735866,1.668678915900531,1.06389483811933,1.668678915900531,lagging_mixed_gate
memory,3,6,10175.019269809127,9124.982170760632,0.11547977609400162,8949.980838224292,6449.990905821323,1.5775245916433536,1.1368760954607682,1.5775245916433536,lagging_mixed_gate
smoke,7,6,11666.6778922081,9449.984645470977,0.09645735604499861,9499.994727472464,6290.001329034567,1.8547973652016354,1.228072038658078,1.8547973652016354,lagging_mixed_gate
stress_reference,3,177,10158.756805720639,11104.519484238437,0.02497193489313309,9902.222129055346,6037.288066525917,1.6826688893721067,1.0259067786322993,1.6826688893721067,lagging_mixed_gate
