history_size,query_count,cache_speedup_vs_bruteforce,cases_at_or_above_history,cases_below_history,max_profile_step_count,cache_seconds,brute_force_seconds,bridge_status
128,2000,42.784441426508494,12,13,495,0.037515100033488125,1.6050625999923795,overlaps_current_d0_scope
512,2000,121.59641711614056,0,25,495,0.05115379998460412,6.220118800003547,beyond_current_d0_scope
2048,2000,220.54165772277267,0,25,495,0.11790379998274148,26.00269950000802,beyond_current_d0_scope
8192,2000,249.15020940668325,0,25,495,0.4293399999733083,106.97015090001514,beyond_current_d0_scope
