probe_id,probe_label,probe_strategy,stack_strategy,memory_strategy,selection_rank,probe_role,focus_reason,selection_rule,source_lane,family,program_name,baseline_stage,baseline_program_name,baseline_horizon_multiplier,retrieval_horizon_multiplier,comparison_mode,max_steps,boundary_bearing_stream,reference_step_count,profile_repeats,r17_baseline_accelerated_ns_per_step,r17_baseline_lowered_ns_per_step,current_lowered_ns_per_step,current_accelerated_ns_per_step,probe_ns_per_step,speedup_vs_current_accelerated,speedup_vs_r17_accelerated,probe_ratio_vs_current_lowered,probe_samples,probe_exact_trace_match,probe_exact_final_state_match,probe_first_mismatch_step,read_observation_count,memory_read_count,stack_read_count
r18b_pointer_like,R18b,pointer_like_exact_both_spaces,pointer_like_exact,pointer_like_exact,,,,,R15_d0_remaining_family_retrieval_pressure_gate,helper_checkpoint_braid,bytecode_helper_checkpoint_braid_60_a280_s0,R6_d0_long_horizon_scaling_gate,bytecode_helper_checkpoint_braid_48_a280_s0,8,10,medium_exact_trace,2560,False,1608,1,13159439.116916202,7825.497516421648,7825.497516421648,13159439.116916202,21686.131830804457,606.8135718986841,606.8135718986841,2.771214454454372,[0.03487129998393357],True,True,,1391,422,969
r18b_pointer_like,R18b,pointer_like_exact_both_spaces,pointer_like_exact,pointer_like_exact,,,,,R15_d0_remaining_family_retrieval_pressure_gate,indirect_counter_bank,bytecode_indirect_counter_bank_120_a32_b33,R6_d0_long_horizon_scaling_gate,bytecode_indirect_counter_bank_96_a32_b33,8,10,long_exact_final_state,5120,False,1934,1,22947508.32474618,7697.259607573637,7697.259607573637,22947508.32474618,18611.530527268318,1232.9726612824822,1232.9726612824822,2.417942420566886,[0.03599470003973693],True,True,,1931,362,1569
r18b_pointer_like,R18b,pointer_like_exact_both_spaces,pointer_like_exact,pointer_like_exact,,,,,R15_d0_remaining_family_retrieval_pressure_gate,stack_memory_braid,bytecode_stack_memory_braid_100_a112,R6_d0_long_horizon_scaling_gate,bytecode_stack_memory_braid_80_a112,8,10,long_exact_final_state,10240,False,1970,1,10562239.796972744,6608.680235742009,6608.680235742009,10562239.796972744,21556.64972582747,489.97594391107566,489.97594391107566,3.261869080794939,[0.042466599959880114],True,True,,2014,703,1311
r18b_pointer_like,R18b,pointer_like_exact_both_spaces,pointer_like_exact,pointer_like_exact,,,,,R15_d0_remaining_family_retrieval_pressure_gate,subroutine_braid,bytecode_subroutine_braid_80_a96,R6_d0_long_horizon_scaling_gate,bytecode_subroutine_braid_64_a96,8,10,medium_exact_trace,5120,False,1576,1,6710056.598971333,7215.989836335636,7215.989836335636,6710056.598971333,60029.69543454308,111.7789545723756,111.7789545723756,8.318982814009457,[0.0946068000048399],True,True,,1292,403,889
r18b_pointer_like,R18b,pointer_like_exact_both_spaces,pointer_like_exact,pointer_like_exact,,,,,R8_d0_retrieval_pressure_gate,checkpoint_replay_long,bytecode_checkpoint_replay_long_100_a128,R6_d0_long_horizon_scaling_gate,bytecode_checkpoint_replay_long_80_a128,8,10,long_exact_final_state,12800,False,3126,1,27988615.06716357,7395.617407940266,7395.617407940266,27988615.06716357,20083.173396219565,1393.6350852018297,1393.6350852018297,2.7155506144297528,[0.06278000003658235],True,True,,3084,904,2180
r18b_pointer_like,R18b,pointer_like_exact_both_spaces,pointer_like_exact,pointer_like_exact,,,,,R8_d0_retrieval_pressure_gate,helper_checkpoint_braid_long,bytecode_helper_checkpoint_braid_long_180_a312_s0,R6_d0_long_horizon_scaling_gate,bytecode_helper_checkpoint_braid_long_144_a312_s0,8,10,long_exact_final_state,10240,True,4788,1,44068103.13283871,25647.786137030933,25647.786137030933,44068103.13283871,33556.41186248228,1313.2543286640553,1313.2543286640553,1.3083551025884714,[0.16066809999756515],True,True,,4151,1262,2889
r18b_pointer_like,R18b,pointer_like_exact_both_spaces,pointer_like_exact,pointer_like_exact,,,,,R8_d0_retrieval_pressure_gate,iterated_helper_accumulator,bytecode_iterated_helper_accumulator_240_a144_b145,R6_d0_long_horizon_scaling_gate,bytecode_iterated_helper_accumulator_192_a144_b145,8,10,long_exact_final_state,10240,False,3610,1,25234207.28534109,6923.213287661693,6923.213287661693,25234207.28534109,16354.986142697344,1542.9060633358226,1542.9060633358226,2.362340356008477,[0.05904149997513741],True,True,,3127,962,2165
r18b_pointer_like,R18b,pointer_like_exact_both_spaces,pointer_like_exact,pointer_like_exact,,,,,R8_d0_retrieval_pressure_gate,subroutine_braid_long,bytecode_subroutine_braid_long_140_a176,R6_d0_long_horizon_scaling_gate,bytecode_subroutine_braid_long_112_a176,8,10,long_exact_final_state,10240,False,2746,1,23110704.11507948,11838.455949024788,11838.455949024788,23110704.11507948,18162.418069359992,1272.4464345453675,1272.4464345453675,1.5341880856393397,[0.04987400001846254],True,True,,2252,703,1549
